Level,School_ID
3,610385
4,400117
2,400102
3,610513
2,609727
2,609712
2,609711
3,400056
3,609764
5,400098
5,609695
2,610381
5,400034
3,400106
2,609768
5,400035
5,400053
5,609738
2,609707
5,609726
5,609760
5,609749
5,400057
2,610245
2,400059
3,400119
3,609756
2,400086
2,400058
4,609780
4,610340
4,609724
3,609733
2,609705
2,400161
2,609698
3,610380
3,400066
5,609694
4,610587
4,609739
3,400157
1,610506
2,609682
2,400032
5,400162
5,609753
5,610384
5,610543
4,610561
2,609762
3,609715
4,609741
4,610524
4,610558
2,610394
3,400064
4,609730
2,400010
5,610391
3,610383
2,400105
3,400033
3,610357
2,610389
5,609746
3,609725
2,610323
3,609718
3,400113
5,400097
4,400094
5,400055
3,400061
1,609722
4,609719
5,609751
2,609674
4,609691
3,400091
2,610518
5,400054
3,609740
3,400118
2,609729
5,609737
4,400062
4,400104
2,610334
5,610304
2,609708
3,609709
5,610392
2,609716
5,610563
3,610244
4,609734
2,610499
5,609679
3,400052
2,609759
3,400013
5,610402
4,400172
3,609732
4,609692
4,610547
2,609735
4,609754
5,609678
2,609728
3,609713
2,400036
5,609693
2,609710
3,400087
5,609720
5,610564
5,609680
2,609761
5,610529
5,609755
4,610390
3,609704
2,609676
4,400077
3,400171
5,400179
5,400051
5,400169
3,400156
5,400085
3,400149
5,400022
5,400170
2,609723
